"Keyword","nature","step","lang"
"air","hashtag",7,"fr"
"antipollution","keyword",7,"fr"
"capteur","hashtag",7,"fr"
"chauffage","keyword",7,"fr"
"azote","keyword",7,"fr"
"charbon","keyword",7,"fr"
"co2","hashtag",7,"fr"
"cov","hashtag",7,"fr"
"dioxyde","keyword",7,"fr"
"no2","hashtag",7,"fr"
"o3","hashtag",7,"fr"
"ozone","keyword",7,"fr"
"pm25","keyword",7,"fr"
"pm2.5","keyword",7,"fr"
"pm10","keyword",7,"fr"
"smog","hashtag",7,"fr"
"particule","keyword",7,"fr"
"polluant","keyword",7,"fr"
"pollution","keyword",7,"fr"
"qualiteair","keyword",7,"fr"
